Country,2018,2019,2020,2021,2022 Prov.,2023 Proj.,23/22 % Var.,2023 % world
Spain,972,966,961,963,955,945,-1.0%,13.1%
France,792,794,799,795,792,792,-0.4%,11.0%
China,779,781,766,754,758,756,-0.3%,10.5%
Italy,705,714,719,722,718,720,0.2%,10.0%
Turkey,448,436,431,419,413,410,-0.8%,5.7%
USA,408,407,402,393,392,392,0.0%,5.4%
Argentina,218,215,215,211,207,205,-1.1%,2.8%
Romania,191,191,190,189,188,187,-0.5%,2.6%
Portugal,192,195,195,194,193,182,-5.8%,2.5%
India,149,151,161,167,175,180,2.7%,2.5%
Chile,208,210,207,182,182,172,-5.6%,2.4%
Iran,167,167,170,165,165,165,0.0%,2.3%
Australia,153,159,159,159,159,159,0.0%,2.2%
South Africa,130,129,128,126,124,122,-1.9%,1.7%
Uzbekistan,108,112,114,118,122,122,0.0%,1.7%
Moldova,143,143,140,118,117,117,0.0%,1.6%
Russia,94,96,97,99,101,105,4.1%,1.5%
Germany,103,103,103,103,103,104,0.3%,1.4%
Afghanistan,94,96,100,100,100,100,0.0%,1.4%
Greece,108,109,112,96,93,94,0.9%,1.3%
Egypt,80,78,85,83,85,85,0.0%,1.2%
Brazil,82,81,80,81,81,83,1.5%,1.2%
Algeria,75,74,75,68,70,70,0.0%,1.0%
Bulgaria,67,67,66,65,65,62,-4.6%,0.9%
Hungary,69,65,67,63,65,64,-1.1%,0.9%
Other countries,814,821,833,822,814,815,0.1%,11.3%
World total,7352,7377,7370,7255,7237,7202,-0.5%,100.0%

