Country,2018,2019,2020,2021,2022 Prov.,2023 Proj.,23/22 % Var.,2023 % world
USA,33.7,34.3,32.9,33.1,34.3,33.3,-3.0%,15.1%
France,26.0,24.7,23.2,24.9,25.0,24.4,-2.4%,11.0%
Italy,22.4,22.6,24.2,24.2,22.4,21.8,-2.5%,9.9%
Germany,19.7,19.5,19.8,19.9,19.1,19.1,-1.6%,8.6%
UK,12.9,12.6,13.7,13.9,13.1,12.8,-2.9%,5.8%
Spain,10.7,10.2,9.2,10.3,9.6,9.8,1.8%,4.4%
Russia,8.6,8.7,8.5,8.1,8.4,8.6,3.0%,3.9%
Argentina,8.4,8.5,9.4,8.4,8.3,7.8,-6.2%,3.5%
China,17.6,15.0,12.4,10.5,10.1,6.8,-32.9%,3.1%
Portugal,5.1,5.4,4.4,5.3,6.1,5.5,-9.8%,2.5%
Australia,5.3,5.8,6.0,5.6,5.1,4.8,-6.3%,2.4%
Canada,5.4,5.9,5.3,5.3,4.7,4.6,-1.8%,2.0%
South Africa,4.2,4.9,3.1,3.9,4.6,4.5,-2.4%,2.0%
Brazil,3.3,3.6,4.1,4.1,3.6,4.0,11.6%,1.8%
Netherlands,3.6,3.7,3.3,3.7,3.6,3.2,-9.6%,1.5%
Japan,3.5,3.5,3.5,3.1,3.2,3.2,2.1%,1.5%
Romania,3.9,2.2,2.6,3.7,2.5,3.0,20.1%,1.4%
Switzerland,2.4,2.3,2.5,2.3,2.4,2.4,1.1%,1.1%
Austria,2.8,2.5,2.4,2.4,2.4,2.3,-2.1%,1.0%
Czech Republic,2.1,2.2,2.2,2.1,2.4,2.2,-7.3%,1.0%
Belgium,,,2.7,2.7,2.7,,1.0%
Sweden,,,2.0,2.0,2.0,,1.0%
Other countries,38.8,39.5,38.6,38.6,36.6,36.3,-0.8%,16.4%
World total,239,236,231,234,227,221,-2.6%,100.0%

